Time,Type,Length
125646848000,MWr,1
125646849000,MWr,1
125647092000,MRd,10
125647190000,MRd,10
125647952000,CplD,10
125647962500,CplD,10
125648310000,MRd,10
125649234000,CplD,10
125649472000,MRd,e
125650386000,CplD,e
125650918000,MRd,10
125652146000,CplD,10
125652384000,MRd,e
125653298000,CplD,e
125657052000,MRd,80
125657060000,MRd,80
125657068000,MRd,80
125657076000,MRd,80
125657084000,MRd,80
125657938000,CplD,40
125657972500,CplD,40
125658009000,CplD,40
125658047500,CplD,40
125658082000,CplD,40
125658116500,CplD,40
125658151000,CplD,40
125658200000,CplD,40
125658234500,CplD,40
125658269000,CplD,40
125698078000,MWr,40
125698115000,MWr,40
125698154000,MWr,40
125698189000,MWr,40
125698224000,MWr,40
125698259000,MWr,40
125698294000,MWr,40
125698329000,MWr,40
125698364000,MWr,40
125698403000,MWr,40
125698438000,MWr,40
125698473000,MWr,40
125698508000,MWr,40
125698543000,MWr,40
125698578000,MWr,40
125698613000,MWr,40
125700674000,MWr,40
125700709000,MWr,40
125700748000,MWr,40
125700783000,MWr,40
125700818000,MWr,40
125700853000,MWr,40
125700888000,MWr,40
125700923000,MWr,40
125700958000,MWr,40
125700993000,MWr,40
125701032000,MWr,40
125701067000,MWr,40
125701102000,MWr,40
125701137000,MWr,40
125701172000,MWr,40
125701207000,MWr,40
125703262000,MWr,40
125703297000,MWr,40
125703332000,MWr,40
125703371000,MWr,40
125703406000,MWr,40
125703441000,MWr,40
125703476000,MWr,40
125703511000,MWr,40
125703546000,MWr,40
125703581000,MWr,40
125703620000,MWr,40
125703655000,MWr,40
125703690000,MWr,40
125703725000,MWr,40
125703760000,MWr,40
125703795000,MWr,40
125705184000,MWr,40
125705219000,MWr,40
125705254000,MWr,40
125705289000,MWr,40
125705324000,MWr,40
125705359000,MWr,40
125705394000,MWr,40
125705433000,MWr,40
125705468000,MWr,40
125705503000,MWr,40
125705538000,MWr,40
125705573000,MWr,40
125705608000,MWr,40
125705643000,MWr,40
125705682000,MWr,40
125705717000,MWr,40
125706422000,MWr,40
125706461000,MWr,40
125706496000,MWr,40
125706531000,MWr,40
125706566000,MWr,40
125706601000,MWr,40
125706636000,MWr,40
125706671000,MWr,40
125706706000,MWr,40
125706745000,MWr,40
125706780000,MWr,40
125706815000,MWr,40
125706850000,MWr,40
125706885000,MWr,40
125706920000,MWr,40
125706955000,MWr,40
125707038000,MWr,40
125707073000,MWr,40
125707108000,MWr,40
125707143000,MWr,40
125707178000,MWr,40
125707213000,MWr,40
125707252000,MWr,40
125707287000,MWr,40
125707322000,MWr,40
125707357000,MWr,40
125707392000,MWr,40
125707427000,MWr,40
125707462000,MWr,40
125707501000,MWr,40
125707536000,MWr,40
125707571000,MWr,40
125708336000,MWr,40
125708371000,MWr,40
125708406000,MWr,40
125708441000,MWr,40
125708476000,MWr,40
125708511000,MWr,40
125708550000,MWr,40
125708585000,MWr,40
125708620000,MWr,40
125708655000,MWr,40
125708690000,MWr,40
125708725000,MWr,40
125708760000,MWr,40
125708795000,MWr,40
125708834000,MWr,40
125708869000,MWr,40
125708954000,MWr,40
125708989000,MWr,40
125709024000,MWr,40
125709063000,MWr,40
125709098000,MWr,40
125709133000,MWr,40
125709168000,MWr,40
125709203000,MWr,40
125709238000,MWr,40
125709273000,MWr,40
125709308000,MWr,40
125709349000,MWr,40
125709384000,MWr,40
125709419000,MWr,40
